ref_id,year,paper_title,venue,method_family,dataset,task,reported_scope,xai_or_interpretability,risk_stage_classification,ablation_or_validation,main_strength,limitation_gap,relation_to_our_work,source_url
Lin2024_CATA_TCN,2024,Channel attention and temporal attention based temporal convolutional network: A dual attention framework for remaining useful life prediction of aircraft engines,Reliability Engineering & System Safety,TCN + channel attention + temporal attention,C-MAPSS and real flight data,RUL regression,C-MAPSS RUL prediction with attention-based temporal modeling,"Attention-based feature/time weighting, but not full SHAP category analysis",No,Hyperparameter and method component evaluation reported,Models sensor-channel importance and key temporal degradation points using a dual-attention TCN framework,Focuses on RUL regression; does not jointly formulate degradation risk-stage classification or bootstrap uncertainty around model performance,"Our work uses explicit temporal degradation features, dual RUL + risk-stage tasks, SHAP feature-category interpretation, and bootstrap CI",https://www.sciencedirect.com/science/article/abs/pii/S147403462400020X
Elsherif2025_SciRep_CAELSTM,2025,A deep learning-based prognostic approach for predicting turbofan engine degradation and remaining useful life,Scientific Reports,Convolutional autoencoder + attention-based LSTM,NASA C-MAPSS,RUL regression,Deep prognostic model for turbofan degradation and RUL prediction,Limited; attention improves sequence representation but SHAP-style explanation is not the central contribution,No,Compared with prior deep learning methods,Uses autoencoder-like representation and attention-based sequence processing for RUL,Mainly focuses on continuous RUL prediction and deep learning performance; lacks a separate operational risk-stage task,Our study compares deep sequence baselines against explainable engineered temporal features and adds risk-stage classification,https://www.nature.com/articles/s41598-025-09155-z
Wang2025_Sensors_DualAttention,2025,A Deep-Learning Method for Remaining Useful Life Prediction of Aero-Engines Based on Dual Attention,Sensors,Dual attention + CNN/channel attention,NASA C-MAPSS,RUL regression,Dual-attention deep learning for RUL prediction,Attention mechanism provides internal weighting but not necessarily post-hoc SHAP analysis,No,Deep model evaluation reported,Combines CNN-based feature learning with attention to improve RUL estimation,Emphasizes prediction accuracy; operational risk-stage classification and bootstrap confidence intervals are not central,"Our framework emphasizes transparent temporal feature groups, ablation, risk-stage classification, and SHAP",https://www.mdpi.com/1424-8220/25/2/497
Ozcan2025_SciRep_InterpretableEnsemble,2025,Interpretable ensemble remaining useful life prediction enables dynamic maintenance scheduling for aircraft engines,Scientific Reports,Interpretable ensemble ML with SHAP,NASA C-MAPSS FD001-FD004,RUL regression,Strong FD001/FD003 performance and competitive FD002/FD004 results; SHAP highlights critical sensors and operational cycles,"Yes, SHAP",No,Ensemble comparisons reported,Combines ensemble learning with SHAP interpretability for dynamic maintenance scheduling,Does not jointly evaluate a normal/warning/critical degradation risk-stage classification layer,"Closest to our XAI direction; our distinction is explicit temporal feature ablation, dual-task risk-stage classification, and bootstrap CI",https://www.nature.com/articles/s41598-025-23473-2
Yu2025_HybridCNNBiLSTM_DualAttention,2025,Remaining useful life prediction based on hybrid CNN-BiLSTM with dual attention mechanism,Engineering Applications of Artificial Intelligence / Elsevier source,Hybrid CNN + BiLSTM + dual attention,NASA C-MAPSS,RUL regression,Parallel deep architecture for aircraft engine RUL,"Attention-based weighting, but not SHAP-centered",No,Model comparison reported,Addresses serial CNN-LSTM information loss through a parallel dual-attention architecture,Deep model remains comparatively opaque and does not include risk-stage decision classification,Our work provides a transparent temporal feature framework and evaluates deep baselines rather than relying only on deep fusion,https://www.sciencedirect.com/science/article/pii/S0142061525007008
Andringa2025_CounterfactualRUL,2025,Counterfactual explanations for remaining useful life prediction,Engineering Applications of Artificial Intelligence / Elsevier source,Bayesian LSTM + counterfactual explanations,Predictive maintenance / aviation RUL context,RUL prediction with explainability,Uses counterfactual explanations to improve transparency in maintenance,"Yes, counterfactual explanations",No,Interpretability and prediction comparison reported,Focuses on explainable maintenance decisions using counterfactuals,Counterfactual focus differs from feature-group ablation and SHAP category-level temporal degradation explanation,Our work contributes complementary SHAP-based temporal feature/category interpretation and dual-task evaluation,https://www.sciencedirect.com/science/article/pii/S1566253525000454
Xue2025_SciRep_MaintenanceThreshold,2025,Predictive maintenance programs for aircraft engines based on remaining useful life prediction,Scientific Reports,RUL-based maintenance threshold strategy,C-MAPSS,Maintenance decision / thresholding from RUL,Uses C-MAPSS to compute optimal maintenance thresholds and improve mission availability,Not central,"Threshold-oriented maintenance decision, but not three-stage ML classification",Maintenance strategy comparison reported,Connects RUL prediction to maintenance decision thresholds,"Focuses on threshold strategy rather than systematic temporal feature engineering, ML ablation, and SHAP explanation",Our normal/warning/critical stage design provides a machine-learning risk layer complementary to threshold-based maintenance,https://www.nature.com/articles/s41598-025-19957-w
Tang2026_PLOS_PartialSensorFailure,2026,A deep learning framework for remaining useful life prediction of turbofan engines with partial sensor failure,PLOS One,LSTM-GAN / generative regression under sensor failure,NASA C-MAPSS,RUL regression under partial sensor failure,Robust RUL prediction when sensor data are partially missing or damaged,Not central,No,Baseline comparisons under sensor-failure settings,Addresses robustness to partial sensor failure using missing-parameter generation and RUL prediction,Targets sensor failure robustness rather than explainable temporal feature groups and operational risk-stage classification,Our work focuses on interpretable temporal degradation evidence and dual-task decision support; sensor failure robustness is future work,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0347312
Ozcan2026_AIEDAM_ClassificationPdM,2026,Predictive maintenance in aircraft engine maintenance using the C-MAPSS dataset: performance comparison and evaluation of machine learning classification algorithms,AI EDAM,10 ML classifiers + 3 deep learning models,NASA C-MAPSS,Short-term binary failure classification,Predicts whether an engine will fail within the next 30 cycles; compares 10 ML and 3 DL models,No / not central,"Binary classification, not three-stage normal/warning/critical",Wide-scope classification benchmark,Broad classification benchmark for aircraft engine predictive maintenance,Does not jointly perform continuous RUL regression and explainable feature-category SHAP analysis,Our work extends the decision layer to three risk stages and combines it with RUL regression and temporal-feature interpretation,https://www.cambridge.org/core/journals/ai-edam/article/predictive-maintenance-in-aircraft-engine-maintenance-using-the-cmapss-dataset-performance-comparison-and-evaluation-of-machine-learning-classification-algorithms/93B83E8496618EC0DAE786CFEFF93909
Lan2026_DeepResidualAttention,2026,Engine remaining useful life prediction method based on deep residual network and attention mechanism,Discover Computing,Deep residual network + attention,C-MAPSS FD001-FD004,RUL regression,Reports RMSE values for FD001-FD004 and average RMSE across all four subsets,"Attention-based interpretability, but not SHAP-based category analysis",No,Ablation on attention and residual components,Strong deep learning performance and generalization across all four C-MAPSS subsets,Does not include a separate risk-stage classification task and does not focus on transparent temporal feature engineering,Our work provides an interpretable feature-engineering alternative with dual-task evaluation and bootstrap CI,https://link.springer.com/article/10.1007/s10791-026-10000-8
